Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2012-04-14,3186.279,451.2699,280.4311,2366.84,0.00000,0.00000,0.00000,0.00000
2012-04-15,3186.279,451.2699,280.4311,2366.84,0.00000,0.00000,0.00000,0.00000
2012-04-16,3183.003,451.6074,277.9817,2365.65,-0.00103,0.00075,-0.00873,-0.00050
2012-04-17,3233.766,452.0415,278.4164,2402.29,0.01595,0.00096,0.00156,0.01549
2012-04-18,3226.012,451.6593,275.8204,2392.57,-0.00240,-0.00085,-0.00932,-0.00405
2012-04-19,3210.761,451.5039,276.5351,2378.48,-0.00473,-0.00034,0.00259,-0.00589
2012-04-20,3221.235,451.8418,277.8977,2381.32,0.00326,0.00075,0.00493,0.00119
2012-04-21,3221.235,451.8418,277.8977,2381.32,0.00000,0.00000,0.00000,0.00000
2012-04-22,3221.235,451.8418,277.8977,2381.32,0.00000,0.00000,0.00000,0.00000
2012-04-23,3178.111,451.8717,277.318,2361.35,-0.01339,0.00007,-0.00209,-0.00839
2012-04-24,3197.286,452.6106,277.7775,2370.04,0.00603,0.00164,0.00166,0.00368
2012-04-25,3232.656,452.1786,279.1127,2402.71,0.01106,-0.00095,0.00481,0.01378
2012-04-26,3252.899,453.9516,280.6358,2418.89,0.00626,0.00392,0.00546,0.00673
2012-04-27,3266.743,454.9648,282.7977,2424.78,0.00426,0.00223,0.00770,0.00244
2012-04-28,3266.743,454.9648,282.7977,2424.78,0.00000,0.00000,0.00000,0.00000
2012-04-29,3266.743,454.9648,282.7977,2424.78,0.00000,0.00000,0.00000,0.00000
2012-04-30,3255.772,455.9054,284.1211,2415.42,-0.00336,0.00207,0.00468,-0.00386
2012-05-01,3263.376,455.378,284.6019,2429.1,0.00234,-0.00116,0.00169,0.00566
2012-05-02,3250.104,455.1282,279.928,2423.29,-0.00407,-0.00055,-0.01642,-0.00239
2012-05-03,3232.666,455.1792,278.2747,2405.17,-0.00537,0.00011,-0.00591,-0.00748
2012-05-04,3184.634,455.7793,275.7682,2366.39,-0.01486,0.00132,-0.00901,-0.01612
2012-05-05,3184.634,455.7793,275.7682,2366.39,0.00000,0.00000,0.00000,0.00000
2012-05-06,3184.634,455.7793,275.7682,2366.39,0.00000,0.00000,0.00000,0.00000
2012-05-07,3174.858,455.8821,276.1239,2367.26,-0.00307,0.00023,0.00129,0.00037
2012-05-08,3149.167,455.2466,274.0369,2357.45,-0.00809,-0.00139,-0.00756,-0.00414
2012-05-09,3126.133,454.2829,273.3016,2342.31,-0.00731,-0.00212,-0.00268,-0.00642
2012-05-10,3138.108,454.1669,273.5119,2348.93,0.00383,-0.00026,0.00077,0.00283
2012-05-11,3131.935,454.3653,270.9819,2341.23,-0.00197,0.00044,-0.00925,-0.00328
2012-05-12,3131.935,454.3653,270.9819,2341.23,0.00000,0.00000,0.00000,0.00000
2012-05-13,3131.935,454.3653,270.9819,2341.23,0.00000,0.00000,0.00000,0.00000
2012-05-14,3086.904,453.5254,267.6999,2315.45,-0.01438,-0.00185,-0.01211,-0.01101
2012-05-15,3061.124,452.066,269.2284,2302.56,-0.00835,-0.00322,0.00571,-0.00557
2012-05-16,3038.42,451.2489,270.1134,2293.21,-0.00742,-0.00181,0.00329,-0.00406
2012-05-17,3005.629,451.8626,271.5763,2258.93,-0.01079,0.00136,0.00542,-0.01495
2012-05-18,2973.298,452.4189,273.4938,2242.25,-0.01076,0.00123,0.00706,-0.00738
2012-05-19,2973.298,452.4189,273.4938,2242.25,0.00000,0.00000,0.00000,0.00000
2012-05-20,2973.298,452.4189,273.4938,2242.25,0.00000,0.00000,0.00000,0.00000
2012-05-21,3006.76,452.3513,272.9343,2278.24,0.01125,-0.00015,-0.00205,0.01605
2012-05-22,3028.2,451.4249,270.3725,2279.4,0.00713,-0.00205,-0.00939,0.00051
2012-05-23,2996.726,450.8301,266.1719,2283.36,-0.01039,-0.00132,-0.01554,0.00174
2012-05-24,3007.472,450.7391,266.2366,2286.87,0.00359,-0.00020,0.00024,0.00154
2012-05-25,3000.541,449.7458,266.687,2281.92,-0.00230,-0.00220,0.00169,-0.00216
2012-05-26,3000.541,449.7458,266.687,2281.92,0.00000,0.00000,0.00000,0.00000
2012-05-27,3000.541,449.7458,266.687,2281.92,0.00000,0.00000,0.00000,0.00000
2012-05-28,3004.561,450.2363,266.687,2281.92,0.00134,0.00109,0.00000,0.00000
2012-05-29,3033.576,450.5018,263.7089,2307.57,0.00966,0.00059,-0.01117,0.01124
2012-05-30,2983.656,450.3293,260.2759,2275.19,-0.01646,-0.00038,-0.01302,-0.01403
2012-05-31,2974.721,451.2251,258.1752,2270.25,-0.00299,0.00199,-0.00807,-0.00217
