Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2015-06-27,SZA-2014,52.71,52.71,43.13,52.71,52.71,36676,1542428.29
2015-06-27,SZA-2013,43.56,0,0,43.56,43.56,0,0
2015-06-26,SZA-2014,44.98,47.92,39.2,47.92,47.92,69699,2463173.9
2020-12-09,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-08,SZA-2019,43.79,43.80,43.79,43.80,43.80,3,131.39
2020-12-08,SZA-2018,55.77,55.77,55.77,55.77,55.77,2,111.54
2020-12-08,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-08,SZA-2016,4.09,4.09,4.09,4.09,4.09,1,4.09
2020-12-08,SZA-2015,3.75,4.59,3.75,4.59,4.59,2,8.34
2020-12-08,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-08,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-07,SZA-2019,48.64,59.44,48.64,48.65,48.65,8,443.13
2020-12-07,SZA-2018,50.71,61.97,50.71,61.97,61.97,2,112.68
2020-12-11,SZA-2019,31.93,31.93,31.93,31.93,31.93,1,31.93
2020-12-11,SZA-2018,40.65,40.65,40.65,40.65,40.65,1,40.65
2020-12-11,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-11,SZA-2016,4.09,,,4.09,4.09,0,0
2020-12-21,SZA-2016,5.45,,,5.45,5.45,0,0
2020-12-21,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-21,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-16,SZA-2018,29.64,29.64,29.64,29.64,29.64,1,29.64
2020-12-16,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-16,SZA-2016,4.95,4.95,4.95,4.95,4.95,1,4.95
2020-12-24,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-24,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-29,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-29,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-07,SZA-2017,5.02,5.02,5.02,5.02,5.02,1,5.02
2020-12-07,SZA-2016,4.54,4.54,3.72,3.72,3.72,2,8.26
2020-12-07,SZA-2015,5.09,5.09,4.17,4.17,4.17,3,13.43
2020-12-07,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-07,SZA-2013,31.70,,,31.70,31.70,0,0
