,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
56,2020-06-15,24.9,27.0,23.0,65589.0,1650577.54,-0.004398240703718637,3818,6417.088000000001,526.5531,135.791,6279.4,1.0032653752961525,1.0006457457460691,0.9990788441701577,1.0083469558822111
57,2020-06-16,24.88,27.33,24.7,21160.0,526128.71,-0.0008032128514056103,3819,6557.9259999999995,526.3366,136.4228,6398.58,1.0219473381072535,0.999588835390011,1.0046527383994521,1.0189795203363379
58,2020-06-17,24.88,26.09,23.66,73773.0,1853611.06,0.0,3820,6554.468000000001,526.4017,136.7024,6375.54,0.9994726991429914,1.0001236851094908,1.0020495107855873,0.996399201072738
59,2020-06-18,24.75,26.66,23.68,76888.0,1894787.07,-0.00522508038585201,3821,6548.07,526.7354,136.8027,6379.56,0.9990238719603176,1.0006339265241735,1.0007337106005452,1.0006305348252855
60,2020-06-19,24.76,26.2,24.02,132109.0,3269005.98,0.00040404040404040653,3822,6529.276,526.0591,137.7724,6344.7,0.9971298413120202,0.9987160536390756,1.007088310391535,0.994535673306623
61,2020-06-22,24.75,26.88,24.06,65637.0,1652036.13,-0.0004038772213247333,3825,6555.938,527.3953,138.3259,6385.91,1.004083454275788,1.0025400187925655,1.0040174955215992,1.0064951849575237
62,2020-06-23,24.87,24.97,24.76,46717.0,1163796.65,0.00484848484848488,3826,6609.95,528.8307,138.067,6413.44,1.0082386380103046,1.0027216776486252,0.998128333161035,1.0043110535538395
63,2020-06-24,25.26,25.4,24.51,110721.0,2781829.39,0.015681544028950608,3827,6444.68,527.7694,135.9296,6247.66,0.9749967851496608,0.9979931195371222,0.9845191102870344,0.9741511575691049
64,2020-06-29,25.1,27.77,23.0,54488.0,1369602.64,-0.006334125098970689,3832,6435.908,527.0577,137.0737,6254.78,1.0091991162952392,1.0003264465139212,1.0162075803910666,1.0148097671777399
65,2020-06-30,25.11,26.89,23.66,30264.0,783600.75,0.00039840637450194727,3833,6511.097,526.9333,138.6382,6351.67,1.0116827338116081,0.9997639727111474,1.0114135680294616,1.0154905528251994
66,2020-07-01,26.39,27.55,23.01,69245.0,1803286.57,0.05097570688968545,3834,6539.444,527.0668,139.0814,6383.76,1.004353644247659,1.0002533527488202,1.003196810114384,1.0050522146144243
67,2020-07-02,26.49,28.4,25.5,94590.0,2436889.88,0.0037893141341416303,3835,6588.83,527.4791,140.0398,6414.16,1.007552018183809,1.0007822537864273,1.006890928621656,1.004762083787611
68,2020-07-03,28.0,29.0,24.5,63831.0,1749822.83,0.05700264250660636,3836,6585.251,527.7667,140.0398,6414.16,0.9994568079613528,1.000545234872813,1.0,1.0
69,2020-07-06,27.9,30.66,25.22,70199.0,1968835.20,-0.0035714285714286693,3839,6697.45,529.1507,141.2104,6516.05,1.0170379230799251,1.0026223708316573,1.0083590522122996,1.0158851665689663
70,2020-07-07,27.69,29.88,27.04,176068.0,4988587.56,-0.007526881720430034,3840,6635.366999999999,529.2873,141.982,6445.59,0.9907303525968838,1.0002581495214877,1.0054641867737788,0.9891867005317638
