,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
62,2018-06-28,63959,64.85,BEA,"4,147,889.60",0.038799999999999946,3100,5926.243,476.1314,178.6685,5346.44,1.0017835614159765,0.9990121740940349,0.9960135709172967,1.0063148305347935
63,2018-06-29,13498,67.31,BEA,"908,494.20",0.03790000000000005,3101,5954.146,477.6598,179.9539,5350.83,1.0047083793222789,1.003210038237344,1.0071943291626673,1.00082110712923
64,2018-07-02,6629,68.05,BEA,"451,116.80",0.0109999999999999,3104,5933.68,476.6358,176.5252,5367.49,0.996562731246429,0.9978562148206737,0.9809467869270964,1.003113535657085
65,2018-07-03,16985,68.75,BEA,"1,167,762.50",0.010299999999999976,3105,5933.65,477.8838,176.9359,5340.93,0.9999949441156246,1.0026183513701656,1.0023265800010424,0.9950516908275564
66,2018-07-04,42996,69.4,BEA,"2,983,984.80",0.009500000000000064,3106,5934.0380000000005,477.9358,176.9359,5340.93,1.0000653897685237,1.0001088130629243,1.0,1.0
67,2018-07-05,3230,69.1,BEA,"223,189.00",-0.0042999999999999705,3107,5974.616,478.7874,176.1423,5388.28,1.0068381766345278,1.001781829274978,0.9955147598650133,1.0088654972074151
68,2018-07-06,11011,69.32,BEA,"763,306.10",0.003200000000000092,3108,6024.82,479.9466,177.5471,5434.36,1.008402883130899,1.002421116345167,1.0079753699139842,1.0085518941109222
69,2018-07-09,8035,69.23,BEA,"556,283.40",-0.0012999999999999678,3111,6075.243,479.6585,177.4134,5483.89,1.0083692126901718,0.9993997248860603,0.9992469603840333,1.0091142287224255
70,2018-07-10,26792,69.1,BEA,"1,851,312.00",-0.0019000000000000128,3112,6088.781999999999,478.6614,176.6693,5503.05,1.0022285528331951,0.9979212293746489,0.9958058410469558,1.0034938702271563
71,2018-07-11,68642,68.18,BEA,"4,680,326.80",-0.01329999999999998,3113,6035.843000000001,478.832,171.9034,5464.01,0.9913054860561605,1.0003564106067462,0.9730236096480827,0.9929057522646533
72,2018-07-12,42514,68.31,BEA,"2,904,278.80",0.0019000000000000128,3114,6074.778,477.60900000000004,173.0763,5512.36,1.006450631668186,0.9974458682794801,1.0068230180438549,1.0088488125021733
73,2018-07-13,25835,68.52,BEA,"1,770,136.60",0.003100000000000103,3115,6085.445,477.8768,172.7169,5518.33,1.0017559489416732,1.000560709701869,0.9979234591911198,1.0010830207025667
74,2018-07-16,46251,68.86,BEA,"3,184,691.00",0.0049999999999998926,3118,6080.4169999999995,477.9756,170.7091,5512.92,0.999173766257028,1.0002067478479808,0.9883751966368085,0.9990196309390703
75,2018-07-17,61705,68.99,BEA,"4,257,032.90",0.0019000000000000128,3119,6095.727,477.5105,170.6793,5534.91,1.0025179194124352,0.99902693777674,0.9998254340278286,1.0039888117367928
76,2018-07-18,119259,68.11,BEA,"8,122,948.80",-0.012800000000000034,3120,6107.4,476.7224,171.2987,5546.86,1.0019149479627285,0.9983495650880976,1.0036290282418547,1.00215902336262
77,2018-07-19,52023,68.46,BEA,"3,561,575.10",0.005100000000000104,3121,6086.559,476.5427,171.1975,5525.51,0.9965875822772375,0.9996230510670362,0.9994092191009039,0.9961509755068635
78,2018-07-20,66601,69.44,BEA,"4,624,449.60",0.014299999999999981,3122,6099.013000000001,477.8044,172.479,5520.5,1.0020461479137885,1.0026476116410974,1.0074855065056443,0.9990932963654033
79,2018-07-23,132756,68.09,BEA,"9,039,020.60",-0.019399999999999973,3125,6099.91,476.6843,172.4121,5530.66,1.0001470729772177,0.997655735275774,0.9996121266936844,1.0018404130060683
80,2018-07-24,47471,69.83,BEA,"3,314,731.30",0.025600000000000067,3126,6133.235,477.3211,173.3231,5557.37,1.00546319535862,1.0013358946371844,1.0052838518874256,1.0048294416941197
81,2018-07-25,137773,69.33,BEA,"9,551,334.80",-0.007199999999999984,3127,6163.831999999999,477.5149,175.0962,5607.99,1.004988721286564,1.0004060159921697,1.010230027041981,1.0091086251230348
