,Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
88,2020-07-10,SZA-2015,29.22,35.72,29.22,35.72,35.72,2.0,64.94,0.10009239297813366,3843,6685.366,531.3642,142.1855,6528.96,1.0084203390791793,1.0008425047309661,1.0043696655079681,1.0104700130468898
89,2020-07-13,SZA-2015,39.29,39.29,39.29,39.29,39.29,1.0,39.29,0.0999440089585666,3846,6668.102,530.8972,141.8748,6467.84,0.9974176432524412,0.9991211301024796,0.9978148264063494,0.9906386315737882
90,2020-07-14,SZA-2015,39.29,,,39.29,39.29,0.0,0.0,0.0,3847,6718.74,531.663,141.2065,6555.4,1.007594064997806,1.0014424638140869,0.9952895087781622,1.0135377498515732
91,2020-07-15,SZA-2015,43.22,43.22,35.36,35.36,35.36,2.0,78.58,-0.100025451768898,3848,6801.991999999999,532.5739,142.251,6615.07,1.0123910137912762,1.0017133033519352,1.0073969682698742,1.009102419379443
92,2020-07-16,SZA-2015,31.82,38.9,31.82,31.82,31.82,5.0,166.18,-0.10011312217194568,3849,6772.573,533.2203,141.8418,6592.75,0.9956749434577402,1.001213728273203,0.9971233945631314,0.9966258860450457
93,2020-07-20,SZA-2015,31.5,31.5,31.5,31.5,31.5,1.0,31.5,-0.010056568196103122,3853,6844.348000000001,533.8489,141.4959,6667.45,1.0083257781495543,1.0021919297711408,0.9972351471087799,1.0084076190360958
94,2020-07-21,SZA-2015,28.35,28.35,28.35,28.35,28.35,1.0,28.35,-0.09999999999999998,3854,6869.834,535.7415,143.5805,6678.74,1.0037236563658072,1.0035451979015035,1.01473258235751,1.001693301037128
95,2020-07-22,SZA-2015,31.19,31.19,31.19,31.19,31.19,3.0,93.57,0.10017636684303356,3855,6888.321999999999,537.5181,144.5464,6717.29,1.0026911858423362,1.003316151539502,1.006727236637287,1.0057720468232032
96,2020-07-23,SZA-2015,34.31,34.31,34.31,34.31,34.31,3.0,102.93,0.10003206155819178,3856,6830.528,538.0097,145.369,6635.04,0.9916098579596019,1.00091457385342,1.005690906172689,0.9877554787719453
97,2020-07-24,SZA-2015,30.88,37.74,30.88,37.74,37.74,3.0,99.5,0.09997085397843186,3857,6781.781,538.7462,145.4245,6594.1,0.9928633628322729,1.0013689344262753,1.000381787038502,0.9938297282307266
98,2020-07-27,SZA-2015,41.51,41.51,41.51,41.51,41.51,1.0,41.51,0.09989401165871747,3860,6841.143,541.7927,146.1777,6642.89,1.0087531579094047,1.0056547962658482,1.005179319853257,1.0073990385344473
99,2020-07-28,SZA-2015,41.51,,,41.51,41.51,0.0,0.0,0.0,3861,6806.505999999999,541.7852,146.2388,6599.97,0.9949369571722151,0.999986157067085,1.000417984412123,0.9935389566890315
100,2020-07-29,SZA-2015,41.51,,,41.51,41.51,0.0,0.0,0.0,3862,6865.15,542.3468,147.2259,6682.01,1.008615874282635,1.0010365731658968,1.006749918626247,1.0124303595319373
101,2020-07-30,SZA-2015,45.66,45.66,37.36,45.66,45.66,83.0,3781.48,0.09997590941941703,3863,6819.276999999999,543.5113,145.6468,6658.02,0.9933179901385985,1.0021471501260817,0.9892743056758357,0.9964097629306152
102,2020-07-31,SZA-2015,45.66,,,45.66,45.66,0.0,0.0,0.0,3864,6822.597,543.739,146.55100000000002,6709.81,1.0004868551314166,1.0004189425316456,1.0062081693521587,1.0077785888297122
103,2020-08-03,SZA-2015,50.23,50.23,50.23,50.23,50.23,1.0,50.23,0.10008760402978534,3867,6879.235,541.7188,149.1733,6758.2,1.0083015309272993,0.9962846144933506,1.0178934295910638,1.0072118286508858
104,2020-08-04,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3868,6917.0,543.2571,150.5371,6782.6,1.005489709248194,1.0028396651546891,1.0091423867407907,1.0036104288124057
105,2020-08-05,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3869,6973.585,545.0315,151.9202,6826.22,1.008180569611103,1.0032662251445954,1.0091877683308632,1.0064311620912334
106,2020-08-06,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3870,6986.293000000001,545.2036,152.2354,6870.86,1.001822305170153,1.0003157615660747,1.0020747734665962,1.0065394903768117
107,2020-08-07,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3871,6975.41,543.462,150.3384,6876.65,0.9984422353886387,0.9968055970283394,0.9875390349419386,1.0008426892703388
108,2020-08-10,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3874,6990.055,543.4489,151.3065,6895.59,1.0020995181645238,0.9999758952787867,1.0064394725499273,1.002754248071372
109,2020-08-11,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3875,6985.909000000001,541.3408,149.1477,6840.67,0.9994068716197513,0.9961208864347687,0.9857322719116495,0.9920354893489897
110,2020-08-12,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3876,7082.08,540.8741,149.9563,6937.44,1.0137664261014565,0.9991378813494199,1.0054214714675453,1.0141462751455632
111,2020-08-13,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3877,7079.139,540.3534,151.1671,6924.96,0.9995847265210221,0.9990372990683044,1.0080743523279783,0.9982010655227289
112,2020-08-14,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3878,7062.1630000000005,540.3119,151.1018,6924.28,0.9976019682619596,0.9999231984105218,0.9995680276991488,0.9999018044869573
113,2020-08-17,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3881,7091.235,541.7766,153.6884,6943.22,1.004116585810891,1.0027108416453534,1.0171182606692972,1.0027353024429977
114,2020-08-18,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3882,7107.7519999999995,543.5261,154.662,6960.3,1.0023292134585866,1.003229190777158,1.0063348958021556,1.0024599537390433
115,2020-08-19,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3883,7093.9490000000005,543.1836,154.3651,6930.8,0.9980580357896562,0.9993698554678422,0.9980803300099572,0.9957616769392124
116,2020-08-20,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3884,7078.829000000001,542.2871,153.187,6952.92,0.9978686060472101,0.9983495451629983,0.9923680935651906,1.003191550758931
117,2020-08-21,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3885,7087.901999999999,541.5186,152.4965,6977.27,1.0012817091640438,0.9985828539900727,0.9954924373478167,1.0035021257255945
118,2020-08-24,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3888,7162.361,542.073,152.9137,7048.17,1.010505083168475,1.0010237875485717,1.0027358004937819,1.0101615674898634
119,2020-08-25,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3889,7180.071999999999,540.4974,153.689,7073.6,1.002472787953581,0.9970933804118634,1.0050701801081263,1.0036080287507254
120,2020-08-26,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3890,7248.695,540.6099,154.2883,7145.77,1.009557425050891,1.000208141611782,1.0038994332710864,1.010202725627686
121,2020-08-27,SZA-2015,50.23,,,50.23,50.23,0.0,0.0,0.0,3891,7239.306,539.0473,154.9686,7158.18,0.9987047323690678,0.9971095608866947,1.0044092779556195,1.0017366917770933
122,2020-08-31,SZA-2015,40.69,40.69,40.69,40.69,40.69,1.0,40.69,-0.18992633884132992,3895,7278.444,542.91,156.4625,7192.11,0.9995433801868749,1.001952747605019,1.0024628695505649,0.997920106561585
123,2020-09-01,SZA-2015,44.76,44.76,36.62,36.62,36.62,1502.0,67213.24,-0.1000245760629147,3896,7313.536999999999,543.8919,156.8631,7246.37,1.0048214975618415,1.0018085870586284,1.002560357913238,1.0075443784925426
124,2020-09-02,SZA-2015,32.96,32.96,32.96,32.96,32.96,1.0,32.96,-0.09994538503549966,3897,7393.548000000001,543.2097,155.4359,7358.49,1.010940123773217,0.9987457066376609,0.9909016205850835,1.0154725745442201
125,2020-09-03,SZA-2015,29.66,36.26,29.66,36.26,36.26,2.0,65.92,0.1001213592233008,3898,7192.204000000001,543.4313,154.2912,7101.38,0.972767607649264,1.0004079455871278,0.9926355494451411,0.9650594075686724
126,2020-09-04,SZA-2015,39.89,39.89,32.63,32.63,32.63,2.0,72.52,-0.10011031439602858,3899,7114.624,540.9628,154.49200000000002,7043.62,0.989213320423058,0.9954575674974924,1.0013014352082297,0.9918663696351976
