Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2015-03-12,TJEA14,240,"6,039",25.16
2015-03-11,TJEA14,200,"4,964",24.82
2015-03-10,TJEA14,220,"5,407",24.58
2015-03-09,TJEA14,180,"4,550",25.28
2015-05-07,TJEA14,120,"2,895",24.13
2015-05-04,TJEA14,40,963,24.08
2015-04-30,TJEA14,80,"1,930",24.13
2015-04-29,TJEA14,40,976,24.40
2015-07-02,TJEA14,300,"5,002",16.67
2015-07-01,TJEA14,120,"1,844",15.37
2015-06-30,TJEA14,800,"11,452",14.32
2015-06-26,TJEA14,20,266,13.30
2015-06-23,TJEA14,400,"4,905",12.26
2015-06-19,TJEA14,860,"10,122",11.77
2015-06-18,TJEA14,"1,060","11,872",11.20
2015-06-17,TJEA14,20,249,12.44
2015-06-08,TJEA14,100,"1,382",13.82
2015-06-05,TJEA14,200,"3,070",15.35
2015-06-02,TJEA14,280,"4,777",17.06
2015-05-25,TJEA14,100,"1,895",18.95
2015-05-21,TJEA14,200,"3,790",18.95
2015-05-20,TJEA14,240,"5,051",21.05
2015-05-19,TJEA14,240,"4,990",20.79
2015-05-18,TJEA14,60,"1,194",19.90
2015-05-14,TJEA14,300,"6,585",21.95
2015-05-13,TJEA14,100,"2,195",21.95
2015-05-11,TJEA14,40,938,23.45
2015-05-08,TJEA14,60,"1,449",24.15
2015-09-15,TJEA15,240,"5,504",22.93
2015-09-14,TJEA15,180,"4,080",22.67
2015-09-11,TJEA15,100,"2,300",23.00
2015-09-10,TJEA15,240,"5,468",22.78
2015-09-09,TJEA15,280,"6,309",22.53
2015-09-08,TJEA15,260,"5,838",22.45
2015-09-07,TJEA15,400,"9,023",22.56
2015-09-02,TJEA15,460,"10,332",22.46
2015-09-01,TJEA15,420,"9,386",22.35
2015-08-31,TJEA15,400,"8,909",22.27
2015-08-12,TJEA15,280,"6,206",22.16
2015-08-11,TJEA15,220,"4,855",22.07
2015-08-10,TJEA15,340,"7,512",22.09
2015-08-07,TJEA15,800,"17,040",21.30
2015-07-10,TJEA14,40,820,20.50
2015-07-09,TJEA14,"392,055","5,609,203",14.31
2015-07-08,TJEA14,"479,421","6,381,917",13.31
2015-07-07,TJEA14,20,380,19.00
2015-07-06,TJEA14,40,703,17.58
2015-07-03,TJEA14,"5,440","99,718",18.33
2015-10-20,TJEA15,160,"3,851",24.07
2015-10-19,TJEA15,180,"4,329",24.05
2015-10-16,TJEA15,160,"3,843",24.02
2015-10-15,TJEA15,180,"4,306",23.92
2015-10-14,TJEA15,180,"4,334",24.08
2015-10-13,TJEA15,140,"3,360",24.00
2015-10-12,TJEA15,480,"11,508",23.98
2015-10-09,TJEA15,420,"9,928",23.64
2015-10-08,TJEA15,380,"8,970",23.61
2015-09-30,TJEA15,500,"11,585",23.17
2015-09-29,TJEA15,340,"7,863",23.13
2015-09-28,TJEA15,280,"6,458",23.06
2015-09-25,TJEA15,420,"9,688",23.07
2015-09-24,TJEA15,380,"8,757",23.05
2015-09-23,TJEA15,340,"7,858",23.11
2015-09-22,TJEA15,320,"7,380",23.06
2015-09-21,TJEA15,280,"6,469",23.10
2015-09-18,TJEA15,340,"7,861",23.12
2015-09-17,TJEA15,280,"6,449",23.03
2015-09-16,TJEA15,340,"7,820",23.00
2015-11-17,TJEA15,120,"2,754",22.95
2015-11-16,TJEA15,100,"2,286",22.86
2015-12-17,TJEA15,120,"2,743",22.86
2015-12-16,TJEA15,100,"2,282",22.82
2015-12-15,TJEA15,140,"3,201",22.86
2015-12-14,TJEA15,120,"2,744",22.87
2015-12-11,TJEA15,140,"3,196",22.83
2015-12-10,TJEA15,60,"1,371",22.85
2015-12-09,TJEA15,120,"2,744",22.87
2015-12-08,TJEA15,60,"1,371",22.85
2015-12-07,TJEA15,120,"2,744",22.87
2015-12-04,TJEA15,140,"3,195",22.82
2015-12-03,TJEA15,100,"2,289",22.89
2015-12-02,TJEA15,140,"3,200",22.86
2015-12-01,TJEA15,140,"3,211",22.93
2015-11-30,TJEA15,120,"2,752",22.93
2015-11-26,TJEA15,140,"3,204",22.89
2015-11-25,TJEA15,120,"2,752",22.94
2015-11-24,TJEA15,100,"2,297",22.97
2015-11-23,TJEA15,120,"2,751",22.93
2015-11-19,TJEA15,100,"2,298",22.98
2015-11-18,TJEA15,140,"3,224",23.03
2016-03-17,TJEA15,120,"2,779",23.16
2016-03-15,TJEA15,60,"1,386",23.10
2016-03-11,TJEA15,60,"1,384",23.06
2016-03-09,TJEA15,40,920,23.00
2016-03-08,TJEA15,80,"1,844",23.05
2016-03-03,TJEA15,100,"2,309",23.09
2016-03-02,TJEA15,60,"1,387",23.12
2016-03-01,TJEA15,120,"2,770",23.08
2016-02-29,TJEA15,100,"2,303",23.03
2016-02-26,TJEA15,160,"3,679",22.99
2016-01-20,TJEA15,60,"1,368",22.80
2016-01-11,TJEA15,140,"3,188",22.77
2016-01-06,TJEA15,140,"3,193",22.81
2016-01-04,TJEA15,120,"2,739",22.83
2015-12-30,TJEA15,100,"2,282",22.82
2015-12-28,TJEA15,120,"2,737",22.81
2015-12-24,TJEA15,60,"1,369",22.82
2015-12-22,TJEA15,60,"1,371",22.85
2015-12-21,TJEA15,160,"3,658",22.86
2015-12-18,TJEA15,140,"3,197",22.84
2016-04-26,TJEA15,80,"1,851",23.14
2016-04-25,TJEA15,100,"2,316",23.16
2016-04-22,TJEA15,100,"2,318",23.18
2016-04-21,TJEA15,60,"1,389",23.15
2016-04-20,TJEA15,40,924,23.10
2016-04-19,TJEA15,60,"1,392",23.20
2016-04-18,TJEA15,80,"1,854",23.18
2016-04-15,TJEA15,100,"2,325",23.25
2016-04-13,TJEA15,60,"1,393",23.22
2016-04-12,TJEA15,100,"2,319",23.19
2016-04-08,TJEA15,80,"1,856",23.20
2016-04-07,TJEA15,60,"1,393",23.22
2016-04-06,TJEA15,80,"1,860",23.25
2016-04-05,TJEA15,60,"1,392",23.20
2016-04-01,TJEA15,120,"2,780",23.17
2016-03-30,TJEA15,100,"2,313",23.13
2016-03-25,TJEA15,60,"1,385",23.08
2016-03-24,TJEA15,140,"3,232",23.09
2016-03-22,TJEA15,40,926,23.15
2016-03-18,TJEA15,100,"2,320",23.20
2016-06-17,TJEA15,100,"1,900",19.00
2016-06-15,TJEA15,80,"1,684",21.05
2016-06-14,TJEA15,100,"2,100",21.00
2016-06-07,TJEA15,80,"1,676",20.95
2016-06-03,TJEA15,"10,000","210,000",21.00
2016-06-02,TJEA15,80,"1,844",23.05
2016-05-26,TJEA15,60,"1,381",23.01
2016-05-25,TJEA15,80,"1,840",23.00
2016-05-20,TJEA15,60,"1,384",23.06
2016-05-17,TJEA15,40,922,23.05
2016-05-13,TJEA15,40,923,23.08
2016-05-12,TJEA15,60,"1,386",23.10
2016-05-10,TJEA15,80,"1,850",23.12
2016-05-06,TJEA15,80,"1,852",23.15
2016-05-05,TJEA15,60,"1,390",23.17
2016-05-04,TJEA15,80,"1,855",23.19
2016-05-03,TJEA15,80,"1,854",23.18
2016-04-29,TJEA15,60,"1,389",23.15
2016-04-28,TJEA15,100,"2,317",23.17
2016-04-27,TJEA15,60,"1,389",23.15
2017-06-29,TJEA16,"247,675","2,144,232",8.66
2017-06-28,TJEA16,"7,980","88,578",11.10
2017-06-20,TJEA16,"1,520","18,544",12.20
2017-06-16,TJEA16,980,"13,230",13.50
2017-06-13,TJEA16,200,"2,700",13.50
2017-06-05,TJEA16,200,"2,756",13.78
2017-03-21,TJEA16,"76,000","1,029,800",13.55
2016-09-29,TJEA16,100,"1,505",15.05
2016-09-14,TJEA16,100,"1,474",14.74
2016-08-04,TJEA16,80,"1,179",14.74
2016-08-03,TJEA16,120,"1,770",14.75
2016-08-01,TJEA16,100,"1,460",14.60
2016-07-29,TJEA16,100,"1,450",14.50
2016-06-30,TJEA15,"191,872","1,343,104",7.00
