,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
1414,2014-12-16,GDEA,28.5,28.2,31.2,25.8,-0.3,-1.05,36,1015.2
1415,2014-12-15,GDEA,31.6,28.5,28.5,28.5,-3.1,-9.81,1,28.5
1416,2014-12-11,GDEA,29.8,31.6,31.6,31.6,1.8,6.04,22,695.2
1417,2014-12-10,GDEA,27.8,29.8,29.8,29.8,2,7.19,12,357.6
1418,2014-12-09,GDEA,26.02,27.8,27.8,27.8,1.78,6.84,10,278
1419,2014-12-05,GDEA,24.19,26.02,26.5,24.2,1.83,7.57,12,312.2
1420,2014-12-04,GDEA,22.6,24.19,24.5,24.1,1.59,7.04,13,314.5
1421,2014-12-03,GDEA,20.55,22.6,22.6,22.6,2.05,9.98,50,1130
1422,2014-12-02,GDEA,21.55,20.55,23.5,20.5,-1,-4.64,40351,829248.5
1423,2014-12-01,GDEA,21,21.55,23,21,0.55,2.62,440,9480
1424,2014-11-28,GDEA,22.8,21,21,21,-1.8,-7.89,2,42
1425,2014-11-25,GDEA,22.6,22.8,22.8,22.8,0.2,0.88,15,342
1426,2014-11-24,GDEA,23.9,22.6,22.6,22.6,-1.3,-5.44,1000,22600
1427,2014-11-20,GDEA,24.16,23.9,23.9,23.9,-0.26,-1.08,3335,79706.5
1428,2014-11-18,GDEA,23.6,24.16,25.96,23.8,0.56,2.37,6000,144960
1429,2014-11-17,GDEA,26,23.6,23.6,23.6,-2.4,-9.23,1000,23600
1430,2014-11-13,GDEA,26,26,26,26,0,0,2000,52000
1431,2014-11-07,GDEA,26,26,26,26,0,0,1,26
1432,2014-11-06,GDEA,26,26,26,26,0,0,1000,26000
1433,2014-11-05,GDEA,26,26,26,26,0,0,1000,26000
1434,2014-10-30,GDEA,26,26,26,26,0,0,1,26
1435,2014-10-27,GDEA,23.8,26,26,26,2.2,9.24,1000,26000
1436,2014-10-23,GDEA,24.89,23.8,23.8,23.8,-1.09,-4.38,579,13780.2
1437,2014-10-22,GDEA,26.1,24.89,25,23.5,-1.21,-4.64,5100,126950
1438,2014-10-21,GDEA,26.9,26.1,26.1,26.1,-0.8,-2.97,10,261
1439,2014-10-17,GDEA,25.2,26.9,26.9,26.9,1.7,6.75,50,1345
1440,2014-10-16,GDEA,26.65,25.2,26.61,23.99,-1.45,-5.44,300,7561
1441,2014-10-15,GDEA,26.5,26.65,27.1,26,0.15,0.57,790,21050
1442,2014-10-14,GDEA,28.52,26.5,27,25.8,-2.02,-7.08,5380,142560
1443,2014-10-13,GDEA,31.35,28.52,29,28.5,-2.83,-9.03,630,17970
1444,2014-10-09,GDEA,34.83,31.35,31.35,31.35,-3.48,-9.99,19,595.65
1445,2014-10-08,GDEA,38.7,34.83,34.83,34.83,-3.87,-10,500,17415
1446,2014-09-11,GDEA,43,38.7,38.7,38.7,-4.3,-10,24487,947646.9
1447,2014-09-02,GDEA,43.65,43,43,43,-0.65,-1.49,710,30530
