,Unnamed: 0,Date,Trading Index,Open Price,Settlement Price (yuan/ton),Highest Price,Lowest Price,Price Change,Return,Settlement Volume (ton),Turnover (yuan)
106,106,2020-12-31,GDEA,28.37,28.41,28.89,26.0,0.04,0.0014000000000000002,565105,15834782.89
105,105,2021-01-04,GDEA,28.41,27.94,28.86,26.0,-0.47,-0.0165,22155,617880.0
104,104,2021-01-05,GDEA,27.94,28.41,28.66,26.0,0.47,0.0168,12809,362587.14
103,103,2021-01-06,GDEA,28.41,29.69,31.2,26.0,1.28,0.0451,1488,42128.6
102,102,2021-01-07,GDEA,29.69,29.04,29.66,28.45,-0.65,-0.0219,309975,7676966.0
101,101,2021-01-08,GDEA,29.04,29.47,29.5,28.0,0.43,0.0148,281705,6931831.45
100,100,2021-01-11,GDEA,29.47,30.49,31.99,27.0,1.02,0.0346,83665,2549113.1
99,99,2021-01-12,GDEA,30.49,28.91,30.5,27.55,-1.58,-0.0518,155348,4490496.26
98,98,2021-01-13,GDEA,28.91,30.1,30.38,28.66,1.19,0.0412,1001,29556.0
97,97,2021-01-14,GDEA,30.1,30.46,30.48,28.0,0.36,0.012,954,27968.0
96,96,2021-01-15,GDEA,30.46,30.41,30.45,28.1,-0.05,-0.0016,1839,55006.1
95,95,2021-01-18,GDEA,30.41,30.48,30.5,28.11,0.07,0.0023,1618,48263.84
94,94,2021-01-19,GDEA,30.48,31.1,31.49,29.11,0.62,0.0203,1919,58879.81
93,93,2021-01-20,GDEA,31.1,31.65,31.99,31.48,0.55,0.0177,1049,33205.01
92,92,2021-01-21,GDEA,31.65,31.56,31.77,29.0,-0.09,-0.0028000000000000004,1380,41759.51
91,91,2021-01-22,GDEA,31.56,31.82,31.99,28.55,0.26,0.008199999999999999,4480,140913.65
90,90,2021-01-25,GDEA,31.82,31.9,32.0,28.88,0.08,0.0025,1170,35983.87
89,89,2021-01-26,GDEA,31.9,31.28,31.88,29.0,-0.62,-0.0194,2500,77280.21
88,88,2021-01-27,GDEA,31.28,31.02,32.0,28.5,-0.26,-0.0083,37696,1167492.8
87,87,2021-01-28,GDEA,31.02,31.35,31.98,31.29,0.33,0.0106,4401,137951.3
86,86,2021-01-29,GDEA,31.35,31.35,34.33,28.5,0.0,0.0,22908,717243.55
85,85,2021-02-01,GDEA,31.35,31.05,31.99,28.66,-0.3,-0.0096,39320,1219754.38
84,84,2021-02-02,GDEA,31.05,31.16,33.88,28.1,0.11,0.0034999999999999996,28050,872771.85
83,83,2021-02-03,GDEA,31.16,31.01,32.22,29.11,-0.15,-0.0048,18503,573034.8
82,82,2021-02-04,GDEA,31.01,30.64,32.46,28.1,-0.37,-0.011899999999999999,9341,285402.57
81,81,2021-02-05,GDEA,30.64,30.85,32.18,28.0,0.21,0.0069,212541,7385585.27
80,80,2021-02-08,GDEA,30.85,30.93,32.48,28.1,0.08,0.0026000000000000003,210561,6925599.99
79,79,2021-02-09,GDEA,30.93,32.25,32.25,28.0,1.32,0.042699999999999995,849,25492.95
78,78,2021-02-10,GDEA,32.25,32.28,32.5,32.2,0.03,0.0009,3004,96966.8
77,77,2021-02-18,GDEA,32.28,31.99,32.0,30.1,-0.29,-0.009000000000000001,857,26576.4
76,76,2021-02-19,GDEA,31.99,32.27,32.28,29.0,0.28,0.0088,854,26108.0
75,75,2021-02-22,GDEA,32.27,32.17,32.25,29.11,-0.1,-0.0031,150970,5129858.9
74,74,2021-02-23,GDEA,32.17,32.09,32.09,29.0,-0.08,-0.0025,650,19498.0
73,73,2021-02-24,GDEA,32.09,31.82,32.19,31.01,-0.27,-0.0084,3695,117572.17
72,72,2021-02-25,GDEA,31.82,32.18,32.19,28.88,0.36,0.0113,860,26210.87
71,71,2021-02-26,GDEA,32.18,31.99,32.15,29.11,-0.19,-0.0059,2420,76254.13
70,70,2021-03-01,GDEA,31.99,32.12,32.12,29.0,0.13,0.0040999999999999995,1244,38572.0
